Line_Item_USD_M,2024A,2025A,2026E_LBO_Y1,2027E_LBO_Y2,2028E_LBO_Y3,2029E_LBO_Y4,2030E_LBO_Y5
Revenue,418.0,520.0,624.0,736.0,854.0,973.5,1090.0
Revenue_YoY_Growth,22.0%,24.4%,20.0%,17.9%,16.0%,14.0%,12.0%
COGS,125.4,145.6,168.5,191.4,213.5,238.5,261.6
Gross_Profit,292.6,374.4,455.5,544.6,640.5,735.0,828.4
Gross_Margin,70.0%,72.0%,73.0%,74.0%,75.0%,75.5%,76.0%
Operating_Expenses_SG_and_A,142.6,174.4,206.0,235.5,264.7,292.0,316.1
Adjusted_EBITDA,150.0,200.0,249.5,309.1,375.8,443.0,512.3
EBITDA_Margin,35.9%,38.5%,40.0%,42.0%,44.0%,45.5%,47.0%
D_and_A,30.0,38.0,45.0,50.0,55.0,60.0,65.0
EBIT_Operating_Income,120.0,162.0,204.5,259.1,320.8,383.0,447.3
Cash_Interest_Expense,8.5,12.0,98.5,91.2,80.4,67.8,52.4
Tax_Expense_21_Pct,23.4,31.5,22.3,35.3,50.5,66.2,82.9
Consolidated_Net_Income,88.1,118.5,83.7,132.6,189.9,249.0,312.0
Plus_D_and_A,30.0,38.0,45.0,50.0,55.0,60.0,65.0
Less_CapEx,28.0,35.0,42.0,48.0,52.0,55.0,58.0
Less_Change_in_NWC,12.5,15.0,18.0,20.5,22.0,24.0,25.0
Free_Cash_Flow_Pre_Debt_Service,77.6,106.5,68.7,114.1,170.9,230.0,294.0
Mandatory_Term_Loan_Amortization_1pct,0.0,0.0,9.0,9.0,9.0,9.0,9.0
Excess_Cash_Flow_Sweep_Prepayment,0.0,0.0,29.8,52.5,80.9,110.5,142.5
Ending_First_Lien_Term_Loan_B,0.0,0.0,861.2,799.7,709.8,590.3,438.8
Ending_Second_Lien_Senior_Notes,0.0,0.0,300.0,300.0,300.0,300.0,300.0
Ending_Subordinated_PIK_Notes,0.0,0.0,267.6,298.4,332.7,371.0,413.6
Total_Ending_Funded_Debt,0.0,0.0,1428.8,1398.1,1342.5,1261.3,1152.4
Cash_and_Equivalents,45.0,60.0,50.0,65.0,85.0,115.0,150.0
Total_Net_Debt,0.0,0.0,1378.8,1333.1,1257.5,1146.3,1002.4
First_Lien_Net_Leverage_Ratio,0.00x,0.00x,3.25x,2.38x,1.66x,1.07x,0.56x
Total_Net_Leverage_Ratio,0.00x,0.00x,5.53x,4.31x,3.35x,2.59x,1.96x
Interest_Coverage_Ratio,17.65x,16.67x,2.53x,3.39x,4.67x,6.53x,9.78x
Covenant_First_Lien_Cap,N/A,N/A,4.75x,4.25x,3.75x,3.25x,3.25x
Covenant_Interest_Coverage_Floor,N/A,N/A,2.75x,3.00x,3.25x,3.50x,3.50x
Covenant_Compliance_Status,N/A,N/A,WARNING_INTEREST_COVERAGE_BREACH,PASS,PASS,PASS,PASS
