Metric_Name,Vortex_Global_Buyer_USD_M,AeroDynamics_Target_EUR_M,Target_Converted_USD_M_1_08_FX,Pre_Deal_Combined_USD_M,Cost_Synergies_USD_M,Revenue_Synergies_USD_M,Pro_Forma_Combined_USD_M,Accretion_Pct
Revenue,3200.0,780.0,842.4,4042.4,0.0,65.0,4107.4,+2.1%
Gross_Profit,1440.0,312.0,337.0,1777.0,24.0,29.3,1830.3,+3.0%
Operating_Expenses_SG_and_A,800.0,195.0,210.6,1010.6,-18.5,12.0,1004.1,-0.6%
Adjusted_EBITDA,640.0,117.0,126.4,766.4,42.5,17.3,826.2,+7.8%
D_and_A,160.0,35.0,37.8,197.8,0.0,0.0,197.8,0.0%
EBIT_Operating_Income,480.0,82.0,88.6,568.6,42.5,17.3,628.4,+10.5%
Interest_Expense,45.0,12.0,13.0,58.0,0.0,0.0,82.5,+42.2%
EBT_Pre_Tax_Income,435.0,70.0,75.6,510.6,42.5,17.3,545.9,+6.9%
Income_Tax_Expense_23_Pct,100.1,17.5,18.9,119.0,9.8,4.0,125.6,+5.5%
Consolidated_Net_Income,334.9,52.5,56.7,391.6,32.7,13.3,420.3,+7.3%
Diluted_Share_Count_M,120.0,0.0,0.0,120.0,0.0,0.0,126.8,+5.7%
Diluted_EPS_USD,2.79,N/A,N/A,3.26,N/A,N/A,3.31,+18.6%_ACCRETIVE
Total_Funded_Debt,950.0,180.0,194.4,1144.4,0.0,0.0,1744.4,+52.4%
Cash_and_Equivalents,320.0,45.0,48.6,368.6,0.0,0.0,150.0,-59.3%
Net_Debt,630.0,135.0,145.8,775.8,0.0,0.0,1594.4,+105.5%
Net_Debt_to_EBITDA_Ratio,0.98x,1.15x,1.15x,1.01x,N/A,N/A,1.93x,PASS_LEVERAGE_SAFE
